1775142735,0.0000
1775142733,0.0000
1775142730,0.0000
1775142731,0.0000
1775142728,0.0000
1775142726,0.0000
1775142723,0.0000
1775142721,0.0000
1775142742,0.0000
1775142738,0.0000
1775142736,0.0000
1775142703,0.0000
1775142701,0.0000
1775142698,0.0000
1775142699,0.0000
1775142696,0.0000
1775142692,0.0000
1775142690,0.0000
1775142689,0.0000
1775142718,0.0000
1775142719,0.0000
1775142716,0.0000
1775142714,0.0000
1775142713,0.0000
1775142711,0.0000
1775142708,0.0000
1775142706,0.0000
1775142704,0.0000
